#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.01242 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01242 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4822452 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4815235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01
151.012 -6.4808019 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1115e-16 0.99
151.012 -6.4800802 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.98
151.012 -6.4793585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.4
151.012 -6.4786368 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.34
151.012 -6.4779151 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.16
151.012 -6.4771934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.48
151.012 -6.4764717 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.21
151.012 -6.47575 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7467e-16 7.52
151.012 -6.4750284 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7554e-16 5.99
151.012 -6.4743067 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33
151.012 -6.473585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13
151.012 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01
151.012 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.012 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
