# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b), r21mask
6892 0 0 0 0 0 0 0 0 0 0 0
6946 0 0 0 0 0 0 0 0 0 0 0
7003 0 0 0 0 0 0 0 0 0 0 0
7061 0 0 0 0 0 0 0 0 0 0 0
7122 0 0 0 0 0 0 0 0 0 0 0
7184 0 0 0 0 0 0 0 0 0 0 0
7248 0 0 0 0 0 0 0 0 0 0 0
7315 0 0 0 0 0 0 0 0 0 0 0
7383 0 0 0 0 0 0 0 0 0 0 0
7453 0 0 0 0 0 0 0 0 0 0 0
7524 0 0 0 0 0 0 0 0 0 0 0
7597 0 0 0 0 0 0 0 0 0 0 0
7672 0 0 0 0 0 0 0 0 0 0 0
7749 0 0 0 0 0 0 0 0 0 0 0
7827 0 0 0 0 0 0 0 0 0 0 0
7906 0 0 0 0 0 0 0 0 0 0 0
7987 0 0 0 0 0 0 0 0 0 0 0
8069 0 0 0 0 0 0 0 0 0 0 0
8153 0 0 0 0 0 0 0 0 0 0 0
8238 0 0 0 0 0 0 0 0 0 0 0
8324 0 0 0 0 0 0 0 0 0 0 0
8411 0 0 0 0 0 0 0 0 0 0 0
8500 0 0 0 0 0 0 0 0 0 0 0
8589 0 0 0 0 0 0 0 0 0 0 0
8680 0 0 0 0 0 0 0 0 0 0 0
8772 0 0 0 0 0 0 0 0 0 0 0
8741 0 0 0 0 0 0 0 0 0 0 0
8648 0 0 0 0 0 0 0 0 0 0 0
8555 0 0 0 0 0 0 0 0 0 0 0
8463 0 0 0 0 0 0 0 0 0 0 0
8373 0 0 0 0 0 0 0 0 0 0 0
8283 0 0 0 0 0 0 0 0 0 0 0
8195 0 0 0 0 0 0 0 0 0 0 0
8108 0 0 0 0 0 0 0 0 0 0 0
8023 0 0 0 0 0 0 0 0 0 0 0
7938 0 0 0 0 0 0 0 0 0 0 0
7855 0 0 0 0 0 0 0 0 0 0 0
7774 0 0 0 0 0 0 0 0 0 0 0
7694 0 0 0 0 0 0 0 0 0 0 0
7615 0 0 0 0 0 0 0 0 0 0 0
7538 0 0 0 0 0 0 0 0 0 0 0
7462 0 0 0 0 0 0 0 0 0 0 0
7389 0 0 0 0 0 0 0 0 0 0 0
7316 0 0 0 0 0 0 0 0 0 0 0
7246 0 0 0 0 0 0 0 0 0 0 0
7177 0 0 0 0 0 0 0 0 0 0 0
7110 0 0 0 0 0 0 0 0 0 0 0
7046 0 0 0 0 0 0 0 0 0 0 0
6983 0 0 0 0 0 0 0 0 0 0 0
6922 0 0 0 0 0 0 0 0 0 0 0
6863 0 0 0 0 0 0 0 0 0 0 0
6806 0 0 0 0 0 0 0 0 0 0 0
6751 0 0 0 0 0 0 0 0 0 0 0
6699 0 0 0 0 0 0 0 0 0 0 0
