# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b), r21mask
1.243248174335959993e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.399875327479094267e-04 9.416430111741647124e-05 1.785601925803348422e-04 0.000000000000000000e+00
1.230422893529106295e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.459958439227193594e-04 9.081167809199541807e-05 1.932947343448176980e-04 0.000000000000000000e+00
1.217741577365581543e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.511087029939517379e-04 8.667606016388162971e-05 2.232500701211392879e-04 0.000000000000000000e+00
1.205208770276483847e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.553152687847614288e-04 8.537408575648441911e-05 2.611591189634054899e-04 0.000000000000000000e+00
1.192829153327564927e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.600157993379980326e-04 9.091487299883738160e-05 2.884389250539243221e-04 0.000000000000000000e+00
1.180607545486316667e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.667239412199705839e-04 9.490448428550735116e-05 2.730108390096575022e-04 0.000000000000000000e+00
1.168548904512244189e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.750684314174577594e-04 9.787976887309923768e-05 2.337226906092837453e-04 0.000000000000000000e+00
1.156658327402847499e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.853075373219326138e-04 1.011174826999194920e-04 1.936313929036259651e-04 0.000000000000000000e+00
1.144941050353233004e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.988464791793376207e-04 1.085962721845135093e-04 2.131245564669370651e-04 0.000000000000000000e+00
1.133402448174966412e+04 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.165936311939731240e-04 1.163901615655049682e-04 3.416136605665087700e-04 0.000000000000000000e+00
