# distance(pc) r21 r21err co21(Jy/b.km/s) peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b)
6.870230736660049843e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.836968731367960572e-04 8.228098158724606037e-05 8.274569408968091011e-04
7.002933748954700604e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.774252596078440547e-04 8.156544208759441972e-05 8.081409032456576824e-04
7.141009559345695379e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.756967685651034117e-04 8.150731446221470833e-05 7.892506546340882778e-04
7.284152639814999930e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.770368544384837151e-04 8.190357766579836607e-05 7.683974108658730984e-04
7.432070206524605965e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.793913688743487000e-04 8.244567288784310222e-05 7.109786383807659149e-04
7.584482919287009281e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.812881528167054057e-04 8.308826363645493984e-05 6.278159562498331070e-04
7.741125272021391538e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.810481626307591796e-04 8.398054342251271009e-05 5.866432911716401577e-04
7.901745726711455973e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.761753519531339407e-04 8.492312190355733037e-05 6.511276005767285824e-04
8.066106639095200990e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.675408129813149571e-04 8.557497494621202350e-05 7.632570923306047916e-04
8.233984019324736437e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.577825605636462569e-04 8.527258614776656032e-05 8.265250362455844879e-04
8.405167165772878434e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.488678681198507547e-04 8.259915193775668740e-05 7.845385698601603508e-04
8.579458204235856101e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.408492244081571698e-04 7.672536594327539206e-05 6.603857618756592274e-04
8.756671560273673094e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.330360246356576681e-04 6.917939754202961922e-05 5.264805513434112072e-04
8.936633387176399992e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.256874675163999200e-04 6.292533362284302711e-05 4.355791024863719940e-04
9.119180968054855839e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.198324171127751470e-04 5.875745409866794944e-05 4.014538135379552841e-04
9.304162106940038939e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.164028144557960331e-04 5.630889791063964367e-05 4.184524877928197384e-04
9.491434520269051063e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.158801242127083242e-04 5.586467159446328878e-05 4.675831296481192112e-04
9.680865237815309229e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.183351705549284816e-04 5.826966662425547838e-05 5.314526497386395931e-04
9.872330019628700029e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.221249985974282026e-04 6.188799306983128190e-05 6.026140181347727776e-04
1.006571279382114517e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.247389154741540551e-04 6.445202598115429282e-05 6.678398931398987770e-04
1.026090511849201357e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.232283975696191192e-04 6.485298217739909887e-05 6.931770476512610912e-04
1.045780566988953251e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.163687338703311980e-04 6.356168159982189536e-05 6.447191117331385612e-04
1.065631975813465215e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.067145494744181633e-04 6.126227526692673564e-05 5.295055452734231949e-04
1.085635887073882441e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.863870945991948247e-05 5.820372825837694108e-05 4.158595111221075058e-04
1.105784024399150621e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.367743041366338730e-05 5.452451659948565066e-05 3.548465319909155369e-04
1.126068646159202763e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.124294592766091228e-05 5.044081262894906104e-05 3.437925479374825954e-04
1.146482507974231339e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.093285916605964303e-05 4.591296237776987255e-05 3.370932827237993479e-04
1.167018827759684245e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.359021350974217057e-05 4.161252581980079412e-05 3.113501588813960552e-04
1.187671253199911189e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.920012234942987561e-05 4.007053212262690067e-05 2.940656268037855625e-04
1.208433831510648452e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.070319194695912302e-04 4.413761780597269535e-05 3.087112272623926401e-04
1.062284344840543417e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.668114709900692105e-04 7.998151704668998718e-05 3.900798037648200989e-04
1.042263442391295212e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.663895236561074853e-04 8.104476728476583958e-05 3.384905285201966763e-04
1.022397865016255673e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.726211048662662506e-04 8.722605707589536905e-05 3.039163420908153057e-04
1.002696844708022218e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.790774258552119136e-04 9.376251546200364828e-05 3.115754516329616308e-04
9.831702738057443639e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.824688806664198637e-04 9.930209489539265633e-05 3.699554654303938150e-04
9.638287550567169092e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.827560190577059984e-04 1.038467962644062936e-04 4.613453347701579332e-04
9.446836548218327152e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.816082221921533346e-04 1.064956231857649982e-04 5.558084812946617603e-04
9.257471593775604561e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.803352788556367159e-04 1.041211071424186230e-04 6.241528899408876896e-04
9.070323341886854905e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.800174504751339555e-04 9.694104664959013462e-05 6.572902784682810307e-04
8.885531858905882473e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.841506018536165357e-04 9.035093535203486681e-05 6.540846079587936401e-04
8.703247266051990664e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.006942668231204152e-04 9.477960702497512102e-05 6.243243697099387646e-04
8.523630400134687079e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.403740654699504375e-04 1.214449293911457062e-04 6.014393875375390053e-04
8.346853484098472109e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.095549473073333502e-04 1.749167422531172633e-04 6.399146514013409615e-04
8.173100796606737276e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.828785265795886517e-04 2.322522486792877316e-04 7.283333688974380493e-04
8.002569327072765191e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.238765104673802853e-04 2.644429914653301239e-04 8.058126550167798996e-04
7.835469398298250780e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.083378298673778772e-04 2.532912185415625572e-04 8.120072307065129280e-04
7.672025234570091015e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.461165179032832384e-04 2.056092343991622329e-04 7.365900673903524876e-04
7.512475447996974253e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.762754738796502352e-04 1.492008450441062450e-04 6.378497346304357052e-04
7.357073409978164818e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.283651556354016066e-04 1.077540146070532501e-04 5.946027813479304314e-04
7.206087468711875772e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.041236293734982610e-04 8.604605682194232941e-05 6.243715179152786732e-04
7.059800967112329090e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.944379037013277411e-04 7.969894068082794547e-05 6.896706181578338146e-04
6.918512009326950647e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.925613905768841505e-04 8.291574340546503663e-05 7.524614920839667320e-04
6.782532918357799645e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.980842353077605367e-04 9.303724073106423020e-05 8.206464699469506741e-04
6.652189323045688070e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.117946860380470753e-04 1.096384366974234581e-04 9.223609813489019871e-04
6.527818810639241747e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.335182653041556478e-04 1.325784687651321292e-04 1.065265503711998463e-03
6.409769082550807070e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.582003362476825714e-04 1.576502545503899455e-04 1.224459847435355186e-03
6.298395556749012030e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.734860754571855068e-04 1.746952621033415198e-04 1.341048395261168480e-03
6.194058372040504764e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.653456467669457197e-04 1.718757412163540721e-04 1.358464127406477928e-03
6.097118767992596077e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.375031472183763981e-04 1.512713060947135091e-04 1.303269760683178902e-03
6.007934840903159056e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.046758454525843263e-04 1.236045645782724023e-04 1.231199945323169231e-03
5.926856709903033334e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.816535223042592406e-04 1.002784338197670877e-04 1.162074040621519089e-03
5.854221168657499220e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.734927936922758818e-04 8.644465560792014003e-05 1.055547152645885944e-03
5.790345943661715864e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.745092595228925347e-04 8.060463005676865578e-05 9.009410860016942024e-04
5.735523727273342956e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.776313729351386428e-04 7.898386684246361256e-05 7.841496844775974751e-04
5.690016197460455260e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.804772473406046629e-04 7.876692689023911953e-05 7.718438282608985901e-04
5.654048270987148499e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.829309621825814247e-04 7.784976332914084196e-05 8.252944680862128735e-04
5.627802856844573398e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.861143973655998707e-04 7.684839511057361960e-05 8.395931799896061420e-04
5.611416377506921890e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.938215864356607199e-04 8.023585542105138302e-05 7.850375259295105934e-04
5.604975303169529980e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.131560759153217077e-04 9.317577496403828263e-05 7.318916614167392254e-04
5.608513899214057346e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.514668158255517483e-04 1.190581388073042035e-04 7.305228500626981258e-04
5.622013321523931154e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.066947392653673887e-04 1.553965412313118577e-04 7.756928098388016224e-04
5.645402114869385514e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.569610707927495241e-04 1.896467292681336403e-04 8.371357107535004616e-04
5.678558083825378162e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.711976751219481230e-04 2.051502815447747707e-04 8.949131588451564312e-04
